date_string,yield,term
1990-01-19,8.0,BC_1YEAR
1990-01-19,8.19999980927,BC_2YEAR
1990-01-19,8.28999996185,BC_30YEAR
1990-01-19,0.0,BC_30YEARDISPLAY
1990-01-19,8.0,BC_3MONTH
1990-01-19,8.22999954224,BC_3YEAR
1990-01-19,8.19999980927,BC_5YEAR
1990-01-19,8.01000022888,BC_6MONTH
1990-01-19,8.23999977112,BC_7YEAR
1990-01-22,8.27000045776,BC_10YEAR
1990-01-22,7.98000001907,BC_1YEAR
1990-01-22,8.18000030518,BC_2YEAR
1990-01-22,8.31000041962,BC_30YEAR
1990-01-22,0.0,BC_30YEARDISPLAY
1990-01-22,7.98999977112,BC_3MONTH
1990-01-22,8.19999980927,BC_3YEAR
1990-01-22,8.18999958038,BC_5YEAR
1990-01-22,7.98999977112,BC_6MONTH
1990-01-22,8.25,BC_7YEAR
1990-01-23,8.26000022888,BC_10YEAR
1990-01-23,7.96999979019,BC_1YEAR
1990-01-23,8.18000030518,BC_2YEAR
1990-01-23,8.28999996185,BC_30YEAR
1990-01-23,0.0,BC_30YEARDISPLAY
1990-01-23,7.92999982834,BC_3MONTH
1990-01-23,8.19999980927,BC_3YEAR
1990-01-23,8.18000030518,BC_5YEAR
1990-01-23,7.96999979019,BC_6MONTH
1990-01-23,8.22999954224,BC_7YEAR
1990-01-24,8.38000011444,BC_10YEAR
1990-01-24,8.0,BC_1YEAR
1990-01-24,8.19999980927,BC_2YEAR
1990-01-24,8.40999984741,BC_30YEAR
1990-01-24,0.0,BC_30YEARDISPLAY
1990-01-24,7.92999982834,BC_3MONTH
1990-01-24,8.28999996185,BC_3YEAR
1990-01-24,8.27999973297,BC_5YEAR
1990-01-24,7.98999977112,BC_6MONTH
1990-01-24,8.34000015259,BC_7YEAR
1990-01-25,8.42000007629,BC_10YEAR
1990-01-25,8.02999973297,BC_1YEAR
1990-01-25,8.23999977112,BC_2YEAR
1990-01-25,8.46000003815,BC_30YEAR
1990-01-25,0.0,BC_30YEARDISPLAY
1990-01-25,7.94999980927,BC_3MONTH
1990-01-25,8.31999969482,BC_3YEAR
1990-01-25,8.31000041962,BC_5YEAR
1990-01-25,8.01000022888,BC_6MONTH
1990-01-25,8.39000034332,BC_7YEAR
1990-01-26,8.48999977112,BC_10YEAR
1990-01-26,8.06999969482,BC_1YEAR
1990-01-26,8.27999973297,BC_2YEAR
1990-01-26,8.55000019073,BC_30YEAR
1990-01-26,0.0,BC_30YEARDISPLAY
1990-01-26,7.92999982834,BC_3MONTH
1990-01-26,8.38000011444,BC_3YEAR
1990-01-26,8.38000011444,BC_5YEAR
1990-01-26,8.03999996185,BC_6MONTH
1990-01-26,8.44999980927,BC_7YEAR
1990-01-29,8.5,BC_10YEAR
1990-01-29,8.07999992371,BC_1YEAR
1990-01-29,8.30000019073,BC_2YEAR
1990-01-29,8.53999996185,BC_30YEAR
1990-01-29,0.0,BC_30YEARDISPLAY
1990-01-29,8.0,BC_3MONTH
1990-01-29,8.39000034332,BC_3YEAR
1990-01-29,8.39000034332,BC_5YEAR
1990-01-29,8.09000015259,BC_6MONTH
1990-01-29,8.44999980927,BC_7YEAR
1990-01-30,8.51000022888,BC_10YEAR
1990-01-30,8.09000015259,BC_1YEAR
1990-01-30,8.30000019073,BC_2YEAR
1990-01-30,8.55000019073,BC_30YEAR
1990-01-30,0.0,BC_30YEARDISPLAY
1990-01-30,8.0,BC_3MONTH
1990-01-30,8.39000034332,BC_3YEAR
1990-01-30,8.43000030518,BC_5YEAR
1990-01-30,8.14000034332,BC_6MONTH
1990-01-30,8.47000026703,BC_7YEAR
1990-01-31,8.43000030518,BC_10YEAR
1990-01-31,8.07999992371,BC_1YEAR
1990-01-31,8.27999973297,BC_2YEAR
1990-01-31,8.46000003815,BC_30YEAR
1990-01-31,0.0,BC_30YEARDISPLAY
1990-01-31,8.0,BC_3MONTH
1990-01-31,8.35999965668,BC_3YEAR
1990-01-31,8.35000038147,BC_5YEAR
1990-01-31,8.13000011444,BC_6MONTH
1990-01-31,8.39000034332,BC_7YEAR
1990-02-01,8.42000007629,BC_10YEAR
1990-02-01,8.09000015259,BC_1YEAR
1990-02-01,8.27999973297,BC_2YEAR
1990-02-01,8.43999958038,BC_30YEAR
